,,,,average
0.59_144.4417m/z,144.44173590000003,0.5892333329999999,250um_Ce,0.0
0.59_144.4417m/z,144.44173590000003,0.5892333329999999,Blanks,0.0
0.59_144.4417m/z,144.44173590000003,0.5892333329999999,Media,14.391955380777778
0.59_203.2244m/z,203.2243682,0.5892333329999999,0um_Ce,0.0
0.59_203.2244m/z,203.2243682,0.5892333329999999,250um_Ce,0.0
0.59_203.2244m/z,203.2243682,0.5892333329999999,Blanks,0.0
0.59_203.2244m/z,203.2243682,0.5892333329999999,Media,16.058793913444443
0.59_250.8096m/z,250.8096315,0.5892333329999999,0um_Ce,0.0
0.59_250.8096m/z,250.8096315,0.5892333329999999,250um_Ce,0.0
0.59_250.8096m/z,250.8096315,0.5892333329999999,Blanks,0.0
0.59_250.8096m/z,250.8096315,0.5892333329999999,Media,58.08654070777778
0.60_129.1388m/z,129.1387813,0.6035166670000001,0um_Ce,0.0
0.60_129.1388m/z,129.1387813,0.6035166670000001,250um_Ce,0.0
0.60_129.1388m/z,129.1387813,0.6035166670000001,Blanks,0.0
0.60_129.1388m/z,129.1387813,0.6035166670000001,Media,14.73445242511111
0.60_146.1659m/z,146.1658862,0.596383333,0um_Ce,0.0
0.60_146.1659m/z,146.1658862,0.596383333,250um_Ce,0.0
0.60_146.1659m/z,146.1658862,0.596383333,Blanks,0.0
0.60_146.1659m/z,146.1658862,0.596383333,Media,163.9157593777778
0.60_182.7792m/z,182.7791669,0.596383333,0um_Ce,0.0
0.60_182.7792m/z,182.7791669,0.596383333,250um_Ce,0.0
0.60_182.7792m/z,182.7791669,0.596383333,Blanks,0.0
0.60_182.7792m/z,182.7791669,0.596383333,Media,20.770182000000002
0.60_220.1359m/z,220.1359187,0.6035166670000001,0um_Ce,0.0
0.60_220.1359m/z,220.1359187,0.6035166670000001,250um_Ce,0.0
0.60_220.1359m/z,220.1359187,0.6035166670000001,Blanks,0.0
0.60_220.1359m/z,220.1359187,0.6035166670000001,Media,9.600003416333331
0.60_308.2184m/z,308.2183833,0.596383333,0um_Ce,0.0
0.60_308.2184m/z,308.2183833,0.596383333,250um_Ce,0.0
0.60_308.2184m/z,308.2183833,0.596383333,Blanks,0.0
0.60_308.2184m/z,308.2183833,0.596383333,Media,40.035562847777776
0.60_397.4459m/z,397.4459408,0.6035166670000001,0um_Ce,0.0
0.60_397.4459m/z,397.4459408,0.6035166670000001,250um_Ce,3.416119755333334
0.60_397.4459m/z,397.4459408,0.6035166670000001,Blanks,0.0
0.60_397.4459m/z,397.4459408,0.6035166670000001,Media,0.0
0.61_138.1082m/z,138.10819119999996,0.610666667,0um_Ce,0.02601718111111111
0.61_138.1082m/z,138.10819119999996,0.610666667,250um_Ce,0.013533427666666665
0.61_138.1082m/z,138.10819119999996,0.610666667,Blanks,0.0
0.61_138.1082m/z,138.10819119999996,0.610666667,Media,218.14050855555556
0.61_173.6264m/z,173.6264135,0.610666667,0um_Ce,0.0
0.61_173.6264m/z,173.6264135,0.610666667,250um_Ce,0.0
0.61_173.6264m/z,173.6264135,0.610666667,Blanks,0.0
0.61_173.6264m/z,173.6264135,0.610666667,Media,130.9148091333333
0.61_188.6307m/z,188.6307216,0.610666667,0um_Ce,1.5078905206666666
0.61_188.6307m/z,188.6307216,0.610666667,250um_Ce,0.3640025817777777
0.61_188.6307m/z,188.6307216,0.610666667,Blanks,0.0
0.61_188.6307m/z,188.6307216,0.610666667,Media,104.15963515333334
0.61_195.1269m/z,195.1268917,0.610666667,0um_Ce,0.31053500044444443
0.61_195.1269m/z,195.1268917,0.610666667,250um_Ce,0.0
0.61_195.1269m/z,195.1268917,0.610666667,Blanks,0.7719777523333332
0.61_195.1269m/z,195.1268917,0.610666667,Media,57.00704300444445
0.61_209.1333m/z,209.1332831,0.610666667,0um_Ce,0.16970655655555555
0.61_209.1333m/z,209.1332831,0.610666667,250um_Ce,0.0
0.61_209.1333m/z,209.1332831,0.610666667,Blanks,0.0
0.61_209.1333m/z,209.1332831,0.610666667,Media,51.83086844222222
0.61_210.1284m/z,210.12844,0.610666667,0um_Ce,2.0807021556666667
0.61_210.1284m/z,210.12844,0.610666667,250um_Ce,1.1331915812222222
0.61_210.1284m/z,210.12844,0.610666667,Blanks,0.0
0.61_210.1284m/z,210.12844,0.610666667,Media,133.3358018111111
0.61_300.1594m/z,300.1594126,0.610666667,0um_Ce,0.26477014277777783
0.61_300.1594m/z,300.1594126,0.610666667,250um_Ce,0.0
0.61_300.1594m/z,300.1594126,0.610666667,Blanks,0.0
0.61_300.1594m/z,300.1594126,0.610666667,Media,58.657625270000004
0.62_129.5943m/z,129.5942872,0.6178,0um_Ce,0.0
0.62_129.5943m/z,129.5942872,0.6178,250um_Ce,0.0
0.62_129.5943m/z,129.5942872,0.6178,Blanks,0.0
0.62_129.5943m/z,129.5942872,0.6178,Media,137.59717495555557
0.62_141.5828n,142.59014219999997,0.62495,0um_Ce,0.2738206651111111
0.62_141.5828n,142.59014219999997,0.62495,250um_Ce,0.5023651122222222
0.62_141.5828n,142.59014219999997,0.62495,Blanks,0.0
0.62_141.5828n,142.59014219999997,0.62495,Media,336.72602419888887
0.62_143.0402m/z,143.0402355,0.6178,0um_Ce,26.946675316666667
0.62_143.0402m/z,143.0402355,0.6178,250um_Ce,16.407544985666664
0.62_143.0402m/z,143.0402355,0.6178,Blanks,13.449097380666666
0.62_143.0402m/z,143.0402355,0.6178,Media,14.528432432333334
0.62_152.1111m/z,152.1110955,0.6178,0um_Ce,1.7339746864444443
0.62_152.1111m/z,152.1110955,0.6178,250um_Ce,0.29411097966666666
0.62_152.1111m/z,152.1110955,0.6178,Blanks,0.0
0.62_152.1111m/z,152.1110955,0.6178,Media,305.6834124111111
0.62_178.1125m/z,178.1124783,0.6178,0um_Ce,1.4772720272222222
0.62_178.1125m/z,178.1124783,0.6178,250um_Ce,0.43574270277777777
0.62_178.1125m/z,178.1124783,0.6178,Blanks,0.0
0.62_178.1125m/z,178.1124783,0.6178,Media,84.57530987333332
0.62_186.1072m/z,186.1071563,0.62495,0um_Ce,0.0
0.62_186.1072m/z,186.1071563,0.62495,250um_Ce,0.0
0.62_186.1072m/z,186.1071563,0.62495,Blanks,0.0
0.62_186.1072m/z,186.1071563,0.62495,Media,50.683597264444444
0.62_187.6351m/z,187.6350572,0.62495,0um_Ce,0.40403386466666663
0.62_187.6351m/z,187.6350572,0.62495,250um_Ce,0.25448743599999996
0.62_187.6351m/z,187.6350572,0.62495,Blanks,0.0
0.62_187.6351m/z,187.6350572,0.62495,Media,210.23037271111107
0.62_193.1150m/z,193.1149746,0.62495,0um_Ce,19.252536650222222
0.62_193.1150m/z,193.1149746,0.62495,250um_Ce,4.648592644444444
0.62_193.1150m/z,193.1149746,0.62495,Blanks,0.0
0.62_193.1150m/z,193.1149746,0.62495,Media,250.62198656666666
0.62_202.6318m/z,202.6318065,0.6178,0um_Ce,0.0
0.62_202.6318m/z,202.6318065,0.6178,250um_Ce,0.0
0.62_202.6318m/z,202.6318065,0.6178,Blanks,0.0
0.62_202.6318m/z,202.6318065,0.6178,Media,184.13584582222222
0.62_206.6184m/z,206.6183525,0.6178,0um_Ce,0.0
0.62_206.6184m/z,206.6183525,0.6178,250um_Ce,0.0
0.62_206.6184m/z,206.6183525,0.6178,Blanks,0.0
0.62_206.6184m/z,206.6183525,0.6178,Media,25.376173822222224
0.62_207.1142m/z,207.1142302,0.62495,0um_Ce,0.3622620650000001
0.62_207.1142m/z,207.1142302,0.62495,250um_Ce,0.0
0.62_207.1142m/z,207.1142302,0.62495,Blanks,0.0
0.62_207.1142m/z,207.1142302,0.62495,Media,96.99750297333333
0.62_216.1416m/z,216.1415993,0.6178,0um_Ce,0.0
0.62_216.1416m/z,216.1415993,0.6178,250um_Ce,0.0
0.62_216.1416m/z,216.1415993,0.6178,Blanks,0.0
0.62_216.1416m/z,216.1415993,0.6178,Media,101.76654170444444
0.62_216.6342m/z,216.6341559,0.62495,0um_Ce,1.1090306301111112
0.62_216.6342m/z,216.6341559,0.62495,250um_Ce,0.5002202251111111
0.62_216.6342m/z,216.6341559,0.62495,Blanks,0.37905350666666665
0.62_216.6342m/z,216.6341559,0.62495,Media,143.86982989999998
0.62_223.1375m/z,223.1374639,0.6178,0um_Ce,0.0
0.62_223.1375m/z,223.1374639,0.6178,250um_Ce,0.0
0.62_223.1375m/z,223.1374639,0.6178,Blanks,0.0
0.62_223.1375m/z,223.1374639,0.6178,Media,76.30962830333333
0.62_224.1328m/z,224.132809,0.6178,0um_Ce,5.5451814675555555
0.62_224.1328m/z,224.132809,0.6178,250um_Ce,2.552394962333333
0.62_224.1328m/z,224.132809,0.6178,Blanks,0.0
0.62_224.1328m/z,224.132809,0.6178,Media,128.64059324444446
0.62_230.1451m/z,230.1451397,0.62495,0um_Ce,0.32177079366666667
0.62_230.1451m/z,230.1451397,0.62495,250um_Ce,0.0
0.62_230.1451m/z,230.1451397,0.62495,Blanks,0.0
0.62_230.1451m/z,230.1451397,0.62495,Media,218.4291012888889
0.62_237.6514m/z,237.651368,0.62495,0um_Ce,0.0
0.62_237.6514m/z,237.651368,0.62495,250um_Ce,0.0
0.62_237.6514m/z,237.651368,0.62495,Blanks,0.0
0.62_237.6514m/z,237.651368,0.62495,Media,29.37720299555556
0.62_242.6282m/z,242.62823390000003,0.62495,0um_Ce,0.15004391144444446
0.62_242.6282m/z,242.62823390000003,0.62495,250um_Ce,0.0
0.62_242.6282m/z,242.62823390000003,0.62495,Blanks,0.0
0.62_242.6282m/z,242.62823390000003,0.62495,Media,50.183634955555554
0.62_247.8076m/z,247.8075924,0.6178,0um_Ce,0.0
0.62_247.8076m/z,247.8075924,0.6178,250um_Ce,0.0
0.62_247.8076m/z,247.8075924,0.6178,Blanks,0.0
0.62_247.8076m/z,247.8075924,0.6178,Media,23.780464771111113
0.62_249.6332m/z,249.6331836,0.62495,0um_Ce,6.720915211666667
0.62_249.6332m/z,249.6331836,0.62495,250um_Ce,0.0
0.62_249.6332m/z,249.6331836,0.62495,Blanks,0.0
0.62_249.6332m/z,249.6331836,0.62495,Media,241.25387753622223
0.62_259.1503m/z,259.1502551,0.62495,0um_Ce,4.429632847444444
0.62_259.1503m/z,259.1502551,0.62495,250um_Ce,2.9064702218888887
0.62_259.1503m/z,259.1502551,0.62495,Blanks,0.0
0.62_259.1503m/z,259.1502551,0.62495,Media,103.22271583555556
0.62_267.1498m/z,267.14984,0.62495,0um_Ce,0.38790553800000005
0.62_267.1498m/z,267.14984,0.62495,250um_Ce,0.0
0.62_267.1498m/z,267.14984,0.62495,Blanks,0.0
0.62_267.1498m/z,267.14984,0.62495,Media,59.914067429999996
0.62_273.6578m/z,273.6578267,0.62495,0um_Ce,0.23033974066666665
0.62_273.6578m/z,273.6578267,0.62495,250um_Ce,0.0
0.62_273.6578m/z,273.6578267,0.62495,Blanks,0.0
0.62_273.6578m/z,273.6578267,0.62495,Media,107.07612640222222
0.62_281.1568m/z,281.1567615,0.62495,0um_Ce,0.0
0.62_281.1568m/z,281.1567615,0.62495,250um_Ce,0.0
0.62_281.1568m/z,281.1567615,0.62495,Blanks,0.0
0.62_281.1568m/z,281.1567615,0.62495,Media,48.53742685
0.62_295.1650m/z,295.164954,0.62495,0um_Ce,2.195582888777778
0.62_295.1650m/z,295.164954,0.62495,250um_Ce,0.0
0.62_295.1650m/z,295.164954,0.62495,Blanks,0.0
0.62_295.1650m/z,295.164954,0.62495,Media,32.52762772444444
0.62_312.1757m/z,312.1756841,0.6178,0um_Ce,0.0
0.62_312.1757m/z,312.1756841,0.6178,250um_Ce,0.0
0.62_312.1757m/z,312.1756841,0.6178,Blanks,0.0
0.62_312.1757m/z,312.1756841,0.6178,Media,11.111119722222222
0.63_102.1551m/z,102.1550582,0.632083333,0um_Ce,0.0
0.63_102.1551m/z,102.1550582,0.632083333,250um_Ce,0.0
0.63_102.1551m/z,102.1550582,0.632083333,Blanks,12.155029713333334
0.63_102.1551m/z,102.1550582,0.632083333,Media,0.0
0.63_119.4797m/z,119.47970890000002,0.632083333,0um_Ce,0.0
0.63_119.4797m/z,119.47970890000002,0.632083333,250um_Ce,15.22876828511111
0.63_119.4797m/z,119.47970890000002,0.632083333,Blanks,0.0
0.63_119.4797m/z,119.47970890000002,0.632083333,Media,0.0
0.63_133.4769m/z,133.4769032,0.632083333,0um_Ce,0.009482798777777779
0.63_133.4769m/z,133.4769032,0.632083333,250um_Ce,256.8599678444445
0.63_133.4769m/z,133.4769032,0.632083333,Blanks,0.0
0.63_133.4769m/z,133.4769032,0.632083333,Media,0.01948912388888889
0.63_153.9915m/z,153.9914967,0.632083333,0um_Ce,0.0
0.63_153.9915m/z,153.9914967,0.632083333,250um_Ce,1570.1601053333334
0.63_153.9915m/z,153.9914967,0.632083333,Blanks,0.0
0.63_153.9915m/z,153.9914967,0.632083333,Media,0.0
0.63_156.5933m/z,156.5932699,0.632083333,0um_Ce,0.3595531278888889
0.63_156.5933m/z,156.5932699,0.632083333,250um_Ce,0.0
0.63_156.5933m/z,156.5932699,0.632083333,Blanks,0.0
