,,,0um_Ce,0um_Ce,0um_Ce,250um_Ce,250um_Ce,250um_Ce,Media,Media,Media
,,,,,,,,,,,
Compound,m/z,Retention time (min),MB1112,MB1113,MB1114,MB1115,MB1116,MB1117,MB1109,MB1110,MB1111
0.57_201.7990m/z,201.7989858,0.574966667,0.0,0.0,0.0,0.0,0.0,0.0,34.72623648333333,35.61797894,38.80993959
0.59_250.8096m/z,250.8096315,0.5892333329999999,0.0,0.0,0.0,0.0,0.0,0.0,56.439506349999995,56.3585931,61.46152267333334
0.60_308.2184m/z,308.2183833,0.596383333,0.0,0.0,0.0,0.0,0.0,0.0,40.73511289,44.34613875333333,35.025436899999995
0.61_300.1594m/z,300.1594126,0.610666667,0.0,0.7943104283333334,0.0,0.0,0.0,0.0,59.625900136666665,62.32349106,54.02348461333333
0.62_206.6184m/z,206.6183525,0.6178,0.0,0.0,0.0,0.0,0.0,0.0,23.111196446666668,24.74851373,28.268811290000002
0.62_247.8076m/z,247.8075924,0.6178,0.0,0.0,0.0,0.0,0.0,0.0,27.891494793333337,21.161061416666666,22.288838103333333
0.63_311.9542m/z,311.9542302,0.632083333,0.0,0.0,0.0,2646.8805493333334,1337.2235910000002,2363.9822280000003,0.0,0.0,0.0
0.64_110.9997n,112.0069839,0.639233333,44.01181021333333,42.30573966,39.08045427333334,61.96711523333334,45.05189338666667,54.04636828666667,69.59266672666665,78.33114387333335,74.59193642666666
0.64_151.0360m/z,151.03601819999997,0.639233333,1691.2385413333334,1648.9357066666669,1402.4503483333335,1785.9083120000003,1714.9244486666666,1756.286710666667,2625.95227,2658.370063,2617.7440656666668
0.64_177.7884m/z,177.7884113,0.639233333,17.737662,15.082562203333334,19.20237767,22.117163010000002,18.140561073333334,16.027019283333335,5.550775585333334,5.756324208666666,4.020680618666667
0.64_198.4570m/z,198.4569988,0.639233333,1.1551361083333334,1.1403808493333334,0.0,99.59851411366667,60.352563454000006,94.16673734333334,127.41545953333332,139.88554373333332,132.8700792666667
0.64_285.9553m/z,285.9553209,0.639233333,0.0,3.2059865550000004,2.042406759,137.3519259,88.34288141999998,123.83818336666666,51.40846755333333,58.72488100666666,43.43123480333333
0.64_313.9583m/z,313.9582732,0.639233333,0.0,0.0,0.0,201.65994616666669,101.56340616333334,175.5899147,0.0,0.0,0.0
0.64_53.0186m/z,53.01860788,0.639233333,20.48014664,20.68961691,16.826493216666666,21.242519586666663,23.061260536666666,20.38130389666667,27.995093943333334,30.814964126666666,30.206924896666663
0.65_123.0410m/z,123.0410349,0.646366667,167.96339066666667,145.24265869999996,124.43628363333335,167.7074089333333,176.34815486666665,161.66510683333334,243.66879873333335,277.4446962,251.05466793333335
0.65_205.9710m/z,205.9709677,0.646366667,0.0,0.0,0.0,83.15901618,59.53350609,80.92705470333334,0.0,0.0,0.0
